family,indicator_id,indicator_name,metric_type,spatial_grain,source_pattern,value_field,description
LOCALDATA,retail_wholesale_count,유통전문판매업_업소수,count,gu,LOCALDATA_072217_*,BIZPLC_NM,구별 유통전문판매업 업소 수
LOCALDATA,food_service_count,일반음식점_업소수,count,gu,LOCALDATA_070101_*,BIZPLC_NM,구별 일반음식점 업소 수
LOCALDATA,cafe_count,휴게음식점_업소수,count,gu,LOCALDATA_070102_*,BIZPLC_NM,구별 휴게음식점(카페) 업소 수
LOCALDATA,convenience_count,편의점_업소수,count,gu,LOCALDATA_072101_*,BIZPLC_NM,구별 편의점 업소 수
LOCALDATA,supermarket_count,슈퍼마켓_업소수,count,gu,LOCALDATA_072102_*,BIZPLC_NM,구별 슈퍼마켓 업소 수
POPULATION,total_population,총인구,count,dong,POPULATION_CSV,population,행정동별 총 인구수
POPULATION,households,가구수,count,dong,POPULATION_CSV,households,행정동별 가구 수
