dataset_id,name,mapCategory,taskType,entityType,district,LayerKey
"WORKING-001","서울시 권역별 실시간 대기환경 정보","환경","정보","대기환경","citywide","환경/정보/대기환경"
"WORKING-002","서울시 공공자전거(따릉이) 대여소 정보","교통","정보","대여소","citywide","교통/정보/대여소"
"WORKING-003","서울시 공중화장실 위치 정보","편의시설","정보","공중화장실","citywide","편의시설/정보/공중화장실"
"WORKING-004","서울시 공영주차장 정보","교통","정보","주차장","citywide","교통/정보/주차장"
"WORKING-005","서울시 문화행사 정보","문화","정보","문화행사","citywide","문화/정보/문화행사"
"OA-12615","서울시 강동구 명일2동 주민센터 새소식 정보","일반행정","정보","공지사항","강동구","일반행정/정보/공지사항"
"OA-12621","서울시 강동구 암사2동 주민센터 새소식 정보","일반행정","정보","공지사항","강동구","일반행정/정보/공지사항"
"OA-12700","서울시 중랑구 공지사항 정보","일반행정","정보","공지사항","중랑구","일반행정/정보/공지사항"
"OA-12701","서울시 중랑구 채용 정보","문화/관광","정보","채용","중랑구","문화/관광/정보/채용"
"OA-12702","서울시 중랑구 문화행사 정보","문화/관광","정보","문화행사","중랑구","문화/관광/정보/문화행사"
"OA-12704","서울시 중랑구 보건소 채용 정보","문화/관광","정보","채용","중랑구","문화/관광/정보/채용"
"OA-12703","서울시 중랑구 보건소 공지사항 정보","일반행정","정보","공지사항","중랑구","일반행정/정보/공지사항"
"OA-12611","서울시 강동구 길동 주민센터 새소식 정보","일반행정","정보","공지사항","강동구","일반행정/정보/공지사항"
"OA-20400","서울시 송파구 사회복지시설 목록","복지","목록","사회복지시설","송파구","복지/목록/사회복지시설"
"OA-12764","서울시 지하철 실시간 도착정보","교통","정보","실시간","citywide","교통/정보/실시간"
"OA-15526","서울시 대기오염 측정정보","환경","정보","대기오염","citywide","환경/정보/대기오염"
"OA-12181","서울시 송파구 시설대관 공공서비스예약 정보","문화/관광","예약","공공서비스예약","송파구","문화/관광/예약/공공서비스예약"
"OA-21285","서울시 실시간 도시데이터","문화/관광","기타","실시간","citywide","문화/관광/기타/실시간"
"OA-10508","서울시 은평구 공중위생업소 소재지별 운영 현황 (차트)","보건","현황","현황","은평구","보건/현황/현황"
